industry,num_firms,average_unlevered_beta,average_levered_beta,average_corr_market,total_unlevered_beta,total_levered_beta,region_id
Education,85,0.811813374,0.893895442,0.171540172,4.732497145,5.210997701,Emerging Markets
Electrical Equipment,529,1.036199731,1.196985005,0.18959503,5.465331716,6.313377545,Emerging Markets
Electronics (Consumer & Office),92,1.022075593,1.188160988,0.200244852,5.104129185,5.933540743,Emerging Markets
Electronics (General),735,1.281698882,1.266033733,0.225446086,5.685168035,5.615682913,Emerging Markets
Engineering/Construction,694,0.856467893,1.146948072,0.194474136,4.404019531,5.897689511,Emerging Markets
Entertainment,164,1.067591561,1.123186202,0.161416175,6.613906944,6.958324976,Emerging Markets
Environmental & Waste Services,98,1.376335435,1.473408395,0.17499839,7.864846273,8.419554003,Emerging Markets
Farming/Agriculture,270,0.698894174,0.884672046,0.164696296,4.243533041,5.371535775,Emerging Markets
Financial Svcs. (Non-bank & Insurance),536,0.388346131,0.691194033,0.165560027,2.345651535,4.174884756,Emerging Markets
Food Processing,854,0.662184296,0.762335155,0.158399008,4.180482594,4.812752079,Emerging Markets
Food Wholesalers,59,0.410143109,0.576476253,0.13515334,3.03465019,4.265349661,Emerging Markets
Furn/Home Furnishings,202,1.010440544,0.990762119,0.17764866,5.687859084,5.577087488,Emerging Markets
Green & Renewable Energy,77,0.694075367,1.061740196,0.178729594,3.883382438,5.940483455,Emerging Markets
Healthcare Products,164,1.05896065,1.047767816,0.179041384,5.914613852,5.852098507,Emerging Markets
Healthcare Support Services,109,1.170575748,1.224442361,0.183100023,6.39309449,6.687286768,Emerging Markets
Heathcare Information and Technology,56,1.084241248,1.115137116,0.166479268,6.512770394,6.698354272,Emerging Markets
Homebuilding,36,0.980001635,1.381097778,0.237499857,4.126325158,5.81515204,Emerging Markets
Hospitals/Healthcare Facilities,90,0.616761007,0.658975499,0.172730848,3.570647711,3.815042343,Emerging Markets
Hotel/Gaming,411,0.737538843,0.844832425,0.182255305,4.046734569,4.635433932,Emerging Markets
Household Products,235,0.87267612,0.881480212,0.158291816,5.513084262,5.56870364,Emerging Markets
Information Services,53,1.14238318,1.201139953,0.196629243,5.809833585,6.108653701,Emerging Markets
Insurance (General),154,0.505602408,0.566721005,0.159556179,3.168804936,3.551858716,Emerging Markets
Insurance (Life),63,0.626271173,0.766100195,0.260887389,2.400542147,2.936516778,Emerging Markets
Insurance (Prop/Cas.),141,0.442769223,0.454857568,0.177177136,2.499020096,2.567247548,Emerging Markets
Investments & Asset Management,333,0.243797973,0.745055821,0.146608378,1.662919789,5.081945733,Emerging Markets
Machinery,674,1.111265506,1.159404907,0.193058711,5.756101345,6.00545244,Emerging Markets
Metals & Mining,290,1.041883222,1.353980846,0.187342858,5.561371452,7.227288302,Emerging Markets
Office Equipment & Services,67,0.71208172,0.7442051,0.146934951,4.846237842,5.064860981,Emerging Markets
Oil/Gas (Integrated),23,0.867220985,1.195854545,0.293835867,2.951378925,4.069804538,Emerging Markets
Oil/Gas (Production and Exploration),135,1.491421381,1.971384602,0.213006163,7.001775725,9.255058982,Emerging Markets
Oil/Gas Distribution,86,1.005217329,1.609503704,0.245463058,4.095187836,6.557009911,Emerging Markets
Oilfield Svcs/Equip.,243,0.899390865,1.213296743,0.206308887,4.359438306,5.880971783,Emerging Markets
Packaging & Container,279,0.667041443,0.740874389,0.156150917,4.271774102,4.744604792,Emerging Markets
Paper/Forest Products,191,0.570985034,0.815664184,0.169909901,3.360516551,4.800568885,Emerging Markets
Power,370,0.494162711,0.81299818,0.183942334,2.686508867,4.419853561,Emerging Markets
Precious Metals,100,1.079295975,1.326545626,0.139567661,7.733137943,9.504677634,Emerging Markets
Publishing & Newspapers,162,0.874584807,0.831554436,0.148129621,5.904185812,5.613694482,Emerging Markets
R.E.I.T.,81,0.466127593,0.676125926,0.274977742,1.695146633,2.458838745,Emerging Markets
Real Estate (Development),638,0.702993087,1.086344769,0.202250331,3.475856298,5.371287966,Emerging Markets
Real Estate (General/Diversified),280,0.760510273,1.04656399,0.21864588,3.47827397,4.786570824,Emerging Markets
Real Estate (Operations & Services),279,0.541979989,0.875177191,0.186117569,2.91203024,4.702281443,Emerging Markets
Recreation,121,0.940633395,0.984651092,0.19490867,4.82602131,5.051858863,Emerging Markets
Reinsurance,30,0.972413777,0.938630651,0.279586804,3.478038887,3.357206555,Emerging Markets
Restaurant/Dining,98,1.004337806,1.130410278,0.174568523,5.753258311,6.475453069,Emerging Markets
Retail (Automotive),78,0.682909697,0.977304,0.191875387,3.559131306,5.093430769,Emerging Markets
Retail (Building Supply),13,1.060226623,1.17759596,0.187618041,5.650984401,6.276560366,Emerging Markets
Retail (Distributors),523,0.646221161,0.878699269,0.151462261,4.266549016,5.801440327,Emerging Markets
Retail (General),137,0.926719579,1.200595004,0.230586536,4.018966567,5.206700377,Emerging Markets
Retail (Grocery and Food),60,0.752311257,0.889518519,0.193714517,3.883608049,4.591904276,Emerging Markets
Retail (Online),28,1.39251902,1.525006838,0.203603198,6.839376953,7.490092754,Emerging Markets
Retail (Special Lines),158,0.896197209,1.040281954,0.192756669,4.649370702,5.396866212,Emerging Markets
Rubber& Tires,69,0.840693532,0.96468642,0.208991907,4.022612859,4.615903237,Emerging Markets
Semiconductor,389,1.332910262,1.371983066,0.260305368,5.120563867,5.270667588,Emerging Markets
Semiconductor Equip,151,1.080817131,1.225799387,0.22917828,4.716053945,5.348671728,Emerging Markets
Shipbuilding & Marine,219,0.684487933,1.029809995,0.191881229,3.567248013,5.366913691,Emerging Markets
Shoe,63,0.874689852,0.904597701,0.181135831,4.828916768,4.994029596,Emerging Markets
Software (Entertainment),54,1.685926527,1.590899556,0.214307168,7.866869514,7.423454712,Emerging Markets
Software (Internet),150,1.317704451,1.321971614,0.187471277,7.028833813,7.051595504,Emerging Markets
Software (System & Application),309,1.346662677,1.287238209,0.185671883,7.25291657,6.932865592,Emerging Markets
Steel,518,0.684247956,1.107077687,0.19015653,3.598340565,5.821928319,Emerging Markets
Telecom (Wireless),62,0.785275148,1.018718889,0.227422659,3.452932752,4.479408048,Emerging Markets
Telecom. Equipment,268,1.27061316,1.258032611,0.199760858,6.360671316,6.29769327,Emerging Markets
Telecom. Services,116,0.699870448,0.860788379,0.179343988,3.902391464,4.799650039,Emerging Markets
Tobacco,29,0.340235084,0.336784674,0.134781394,2.524347569,2.49874752,Emerging Markets
Transportation,141,0.823131357,1.135536296,0.208062333,3.956176717,5.457673571,Emerging Markets
Transportation (Railroads),11,1.534870174,1.725367677,0.280316147,5.47549683,6.155077742,Emerging Markets
Trucking,95,0.711167352,0.88389098,0.185118942,3.841677917,4.774719272,Emerging Markets
Utility (General),13,0.318744945,0.814255556,0.198024074,1.609627248,4.111901849,Emerging Markets
Utility (Water),56,1.032350693,1.287867078,0.221922326,4.651855951,5.803233506,Emerging Markets
Total Market,20578,0.761923895,1.014410481,0.189549438,4.019657894,5.351693425,Emerging Markets
Total Market (without financials),18286,0.85232445,1.058904191,0.191526362,4.450167805,5.528764713,Emerging Markets
Advertising,30,1.73237295,1.866842146,0.217996392,7.946796432,8.563637815,China
Aerospace/Defense,18,1.77979833,1.869379085,0.248584757,7.159724317,7.520087344,China
Air Transport,17,0.816103233,1.376831373,0.21602336,3.777847143,6.373530034,China
Apparel,194,1.440203744,1.493438112,0.179628455,8.01768152,8.314039733,China
Auto & Truck,31,2.017721722,1.81403908,0.253309272,7.965447557,7.161360757,China
Auto Parts,103,1.829603711,1.791379152,0.201481748,9.080741702,8.891024471,China
Bank (Money Center),22,0.944731803,1.802721637,0.435573253,2.168938972,4.138733553,China
Banks (Regional),20,0.600527227,1.329016667,0.242424642,2.477170727,5.482184715,China
Beverage (Alcoholic),42,1.486873979,1.302378363,0.210750798,7.055128584,6.17970786,China
Beverage (Soft),4,1.107273524,1.066344444,0.205586812,5.38591709,5.186832918,China
Broadcasting,7,1.831448268,1.700736508,0.25017734,7.32060013,6.798123715,China
Brokerage & Investment Banking,71,1.304435601,2.039972569,0.256464607,5.086220731,7.954206987,China
Building Materials,43,1.365689429,1.430353388,0.17770124,7.685311759,8.049203191,China
Business & Consumer Services,63,1.657358241,1.738466667,0.19882868,8.335609535,8.743540756,China
Cable TV,11,1.814451954,1.623832099,0.206023758,8.807003481,7.881771087,China
Chemical (Basic),174,1.487458874,1.573789384,0.185377337,8.023952106,8.489653641,China
Chemical (Diversified),8,2.844908783,2.945219444,0.331911427,8.571289061,8.873510233,China
Chemical (Specialty),141,1.364196808,1.513663542,0.181153296,7.530620958,8.355705225,China
Coal & Related Energy,48,1.248006633,1.649139007,0.190250699,6.559800512,8.668241513,China
Computer Services,100,1.771730617,1.827222955,0.180056833,9.83984105,10.14803451,China
Computers/Peripherals,42,1.515038759,1.741947009,0.209209839,7.241718489,8.326314944,China
Construction Supplies,126,1.246561529,1.553891257,0.230064472,5.41831391,6.754155666,China
Diversified,24,0.803377403,1.700858937,0.329358362,2.439219694,5.164158963,China
Drugs (Biotechnology),35,1.512176957,1.483333987,0.220925031,6.844751588,6.714196125,China
Drugs (Pharmaceutical),197,1.51540238,1.517670991,0.210055509,7.214294864,7.22509492,China
Education,13,1.351822254,1.59508,0.229561555,5.888713614,6.948376003,China
Electrical Equipment,207,1.663928138,1.632438683,0.185178882,8.985517788,8.815468942,China
Electronics (Consumer & Office),34,1.414283219,1.465562745,0.193361321,7.314199199,7.579399734,China
Electronics (General),212,1.71410159,1.698555439,0.211886787,8.089704951,8.016334869,China
Engineering/Construction,142,1.380395923,1.693019234,0.211177754,6.536654059,8.017034001,China
Entertainment,48,1.736273923,1.793131313,0.165003819,10.52262871,10.86721098,China
Environmental & Waste Services,48,1.754284218,1.870343386,0.198074359,8.856695165,9.442632532,China
Farming/Agriculture,53,1.430597654,1.608325778,0.209027642,6.844059669,7.694321012,China
Financial Svcs. (Non-bank & Insurance),56,1.091249828,1.685824537,0.203821461,5.353949591,8.27108455,China
Food Processing,152,1.363043254,1.400499061,0.179327292,7.600868999,7.80973741,China
Food Wholesalers,9,1.245431941,1.048966667,0.126239107,9.865658677,8.309363809,China
Furn/Home Furnishings,68,1.801429617,1.554419829,0.193085629,9.329692876,8.050416994,China
Green & Renewable Energy,25,1.065584073,1.690704348,0.228058869,4.672407952,7.413455813,China
Healthcare Products,40,1.888648278,1.838608254,0.203960596,9.259868402,9.014526777,China
Healthcare Support Services,44,1.810081258,1.873089444,0.202925959,8.919909837,9.23040824,China
Heathcare Information and Technology,11,1.558958226,1.543982716,0.182997312,8.519022543,8.437187952,China
Homebuilding,5,1.096571552,1.077866667,0.087726569,12.49987962,12.2866616,China
Hospitals/Healthcare Facilities,8,1.679955726,1.634762963,0.223923472,7.502365479,7.30054312,China
Hotel/Gaming,86,1.618346576,1.834365462,0.243499242,6.646207861,7.533351837,China
Household Products,60,1.624803763,1.629419955,0.155251062,10.46565313,10.49538685,China
Information Services,9,2.683541859,2.568011111,0.183177468,14.64995607,14.01925214,China
Insurance (General),4,0.912130353,0.990861111,0.261789992,3.484206353,3.784946489,China
Insurance (Life),5,1.963105091,2.546662222,0.50886307,3.857825822,5.004611991,China
Insurance (Prop/Cas.),3,2.600534508,2.865325926,0.499410851,5.207204654,5.737412233,China
Investments & Asset Management,34,0.301521774,1.452841077,0.168887997,1.785335722,8.602393911,China
Machinery,251,1.536269898,1.572164286,0.190940385,8.045809158,8.233796564,China
Metals & Mining,99,1.357211832,1.783688889,0.198079545,6.851852531,9.004912087,China
Office Equipment & Services,12,1.149396885,1.122967677,0.147427221,7.796368117,7.617098589,China
Oil/Gas (Integrated),5,1.544203013,2.114804444,0.382874194,4.033186454,5.523496953,China
Oil/Gas (Production and Exploration),20,2.059554661,2.813244444,0.202345715,10.17839523,13.90315799,China
Oil/Gas Distribution,13,1.359995309,1.947683761,0.249242679,5.456510555,7.814407102,China
Oilfield Svcs/Equip.,50,1.581478479,1.714576812,0.206618394,7.654103049,8.298277703,China
Packaging & Container,57,1.451284654,1.556799129,0.163475585,8.877684419,9.523129273,China
Paper/Forest Products,45,1.110156126,1.389364141,0.181748587,6.108196737,7.644428845,China
Power,77,0.980761121,1.560840351,0.237769929,4.124832459,6.564498537,China
Precious Metals,25,1.395214652,1.650337963,0.135997894,10.25909013,12.13502588,China
Publishing & Newspapers,48,1.573809698,1.406788333,0.170631226,9.223456544,8.244612466,China
R.E.I.T.,2,0.952376375,1.200222222,0.437170825,2.17849939,2.745430741,China
Real Estate (Development),200,1.094213944,1.660435809,0.251713106,4.347067822,6.596540941,China
Real Estate (General/Diversified),80,1.267334179,1.641910833,0.27882701,4.545234622,5.88863623,China
Real Estate (Operations & Services),69,1.222474432,1.40633068,0.205029367,5.962435771,6.859167058,China
Recreation,45,1.273183974,1.303040404,0.175717442,7.245632305,7.415543893,China
Reinsurance,1,3.016245835,2.475333333,0.556776436,5.417337444,4.445829911,China
Restaurant/Dining,31,1.60589789,1.765232407,0.189069408,8.493695022,9.336425314,China
Retail (Automotive),21,1.354661902,1.888088889,0.219203492,6.179928473,8.613406984,China
Retail (Building Supply),3,1.314269411,1.616622222,0.128750343,10.20789056,12.55625565,China
Retail (Distributors),130,1.318355089,1.607017563,0.183394739,7.18862,8.762615393,China
Retail (General),66,1.304904449,1.507469581,0.215435249,6.057061021,6.997320949,China
Retail (Grocery and Food),17,1.363186802,1.633465185,0.212095382,6.427234715,7.70155941,China
Retail (Online),3,1.922652572,1.871414815,0.187347859,10.26247421,9.988984262,China
Retail (Special Lines),56,1.327873781,1.493423556,0.193998062,6.844778587,7.698136469,China
Rubber& Tires,12,1.630613868,1.618758333,0.191073554,8.53395896,8.471911989,China
Semiconductor,62,1.689226732,1.802907937,0.218929393,7.715851711,8.235111386,China
Semiconductor Equip,10,1.569234594,2.035577778,0.250959189,6.252947344,8.111190453,China
Shipbuilding & Marine,47,1.153556275,1.510148309,0.222351754,5.187979202,6.791708551,China
Shoe,25,1.17854626,1.170637374,0.179081971,6.581043608,6.536880108,China
Software (Entertainment),16,2.243618658,2.178545299,0.223097398,10.05667784,9.764996448,China
Software (Internet),50,1.876764119,1.889350505,0.199379816,9.413009583,9.476137269,China
Software (System & Application),91,1.973701425,1.877055833,0.194399623,10.1528048,9.655655726,China
Steel,95,0.942091872,1.422961364,0.178174573,5.287465302,7.986332393,China
Telecom (Wireless),6,1.408884871,1.556755556,0.212891495,6.617854183,7.312436582,China
Telecom. Equipment,93,1.693344059,1.679036585,0.18482909,9.161675034,9.084265821,China
Telecom. Services,18,1.100025824,1.623724444,0.265680263,4.140412283,6.111573459,China
Tobacco,,,,,,,China
Transportation,51,1.351038674,1.681261574,0.237623974,5.685616024,7.075302823,China
Transportation (Railroads),6,1.273823077,1.319540741,0.230959478,5.515353116,5.713299807,China
Trucking,18,1.404699823,1.577068056,0.220373989,6.374163437,7.156325768,China
Utility (General),4,1.931044059,1.783088889,0.301119137,6.412890518,5.921539583,China
Utility (Water),31,1.433650683,1.657828674,0.233592086,6.137411191,7.097109763,China
Total Market,5008,1.237795988,1.632632144,0.205806598,6.014364942,7.932846468,China
Total Market (without financials),4751,1.382098604,1.640927807,0.205386961,6.729242208,7.989444912,China
Advertising,3,0.312726309,0.317177778,0.187272117,1.66990321,1.693673266,India
Aerospace/Defense,4,1.165709543,1.166733333,0.191340546,6.092328924,6.097679543,India
Air Transport,6,0.367323621,0.758644444,0.170169059,2.158580552,4.458180873,India
Apparel,314,0.518969586,0.688652969,0.157058792,3.304301397,4.384682705,India
Auto & Truck,12,1.301973159,1.380087037,0.276557284,4.707788349,4.990239335,India
Auto Parts,95,1.21322757,1.245990476,0.218869655,5.543151106,5.692842509,India
Bank (Money Center),40,1.400432047,1.876316239,0.348183453,4.02210971,5.388872512,India
Banks (Regional),1,19.3389121,1.843111111,0.223606798,86.48624406,8.242643459,India
Beverage (Alcoholic),19,0.676930757,0.698467836,0.144363392,4.68907489,4.838261462,India
Beverage (Soft),3,0.156778296,0.200066667,0.04472136,3.505669229,4.473626629,India
Broadcasting,15,1.112593051,1.14725641,0.160232698,6.943608046,7.159939415,India
Brokerage & Investment Banking,163,0.213250934,0.490020283,0.122770634,1.736986504,3.991347662,India
Building Materials,44,0.82758285,0.98054832,0.165720366,4.993851206,5.916884832,India
Business & Consumer Services,21,0.34411533,0.350485185,0.120432936,2.857319117,2.910210418,India
Cable TV,7,1.234572617,1.318546032,0.241148435,5.119554753,5.467777686,India
Chemical (Basic),126,0.973713892,1.021911676,0.18188151,5.353561736,5.618557246,India
Chemical (Diversified),12,1.169088916,1.341830303,0.249125797,4.692765381,5.386155585,India
Chemical (Specialty),128,0.923101048,1.030559745,0.194677421,4.741695485,5.293678844,India
Coal & Related Energy,5,1.584515423,1.288533333,0.365531512,4.334825783,3.525095076,India
Computer Services,104,0.613122388,0.601329068,0.13892191,4.413431894,4.328540171,India
Computers/Peripherals,10,0.138343601,0.155142222,0.095245985,1.452487484,1.628858392,India
Construction Supplies,88,1.119027725,1.200371242,0.204692849,5.466862814,5.864255873,India
Diversified,13,0.916595922,1.247894017,0.219231341,4.180952948,5.692133302,India
Drugs (Biotechnology),8,0.791435233,0.806577778,0.174090741,4.546107555,4.633088316,India
Drugs (Pharmaceutical),132,0.770557353,0.82918916,0.169144965,4.555603252,4.902239685,India
Education,19,0.500583998,0.96888366,0.165498902,3.024696792,5.854320774,India
Electrical Equipment,82,0.996270613,1.122496011,0.183320182,5.43459319,6.123144756,India
Electronics (Consumer & Office),7,0.98004087,1.158485714,0.211668018,4.630084789,5.473125912,India
Electronics (General),22,0.486609983,0.511906878,0.137743054,3.532736999,3.716389779,India
Engineering/Construction,121,0.782642781,1.376835708,0.199937591,3.914435385,6.886327384,India
Entertainment,55,0.46349654,0.67035304,0.13369254,3.466884092,5.014139458,India
Environmental & Waste Services,5,1.2047173,1.338875556,0.210887235,5.712613662,6.348774766,India
Farming/Agriculture,39,0.671725664,0.853504127,0.168378982,3.989367652,5.068946948,India
Financial Svcs. (Non-bank & Insurance),187,0.335238634,0.670446928,0.158543127,2.114494904,4.228798439,India
Food Processing,163,1.056999236,1.102558689,0.183576312,5.757819319,6.005996509,India
Food Wholesalers,15,0.957322329,0.289985185,0.104608603,9.151468443,2.772096909,India
Furn/Home Furnishings,26,0.782813682,0.798064889,0.177182799,4.418113306,4.504189422,India
Green & Renewable Energy,15,0.895296451,1.005682051,0.148843519,6.015018036,6.756639844,India
Healthcare Products,7,0.328961537,0.473114286,0.129178256,2.546570509,3.662491666,India
Healthcare Support Services,11,0.538449212,0.531007407,0.124623023,4.320623904,4.260909375,India
Heathcare Information and Technology,12,0.92793487,1.019961111,0.143001157,6.489002534,7.132537473,India
Homebuilding,1,-0.271654626,-0.2658,,,,India
Hospitals/Healthcare Facilities,17,0.569812881,0.605779365,0.201467688,2.828309027,3.006831373,India
Hotel/Gaming,53,0.567770356,0.647439556,0.168769511,3.364176104,3.836235302,India
Household Products,32,0.483060642,0.486975,0.125766951,3.840918763,3.872042664,India
Information Services,15,0.867586537,0.882814286,0.186849043,4.643248492,4.724746094,India
Insurance (General),1,0.677765391,1.116733333,0.223606798,3.03105897,4.994183285,India
Insurance (Life),2,0.956530669,0.955444444,0.109544512,8.731890363,8.721974534,India
Insurance (Prop/Cas.),0,,0,0,,,India
Investments & Asset Management,72,0.243693601,0.5233625,0.117150496,2.080175579,4.467437338,India
Machinery,131,0.977810399,0.981765375,0.196080879,4.986770786,5.006940911,India
Metals & Mining,29,0.859173118,1.060042735,0.231625312,3.709323091,4.576540991,India
Office Equipment & Services,13,0.2823421,0.276883333,0.131050044,2.154460166,2.112806105,India
Oil/Gas (Integrated),0,,0,0,,,India
Oil/Gas (Production and Exploration),11,1.730447053,1.795105051,0.303769582,5.696577786,5.909429901,India
Oil/Gas Distribution,8,1.279234141,1.524780952,0.221215198,5.782758837,6.89274953,India
Oilfield Svcs/Equip.,23,1.045381852,1.288096618,0.191104962,5.470197323,6.740257315,India
Packaging & Container,64,0.614811113,0.775288136,0.1652705,3.720029364,4.691025537,India
Paper/Forest Products,52,0.374041532,0.640296444,0.144913978,2.581128041,4.418458818,India
Power,36,0.8896943,1.256082353,0.250839484,3.546867049,5.007514499,India
Precious Metals,2,0.842089927,1.340122222,0.181129136,4.649113588,7.398711503,India
Publishing & Newspapers,17,0.541345128,0.582252778,0.146472796,3.695874886,3.975159852,India
R.E.I.T.,0,,0,0,,,India
Real Estate (Development),104,0.614389001,0.913932233,0.171629897,3.579731806,5.325017663,India
Real Estate (General/Diversified),18,0.854544989,1.497388889,0.228099885,3.746363086,6.564619219,India
Real Estate (Operations & Services),19,0.170425181,0.200847953,0.134875361,1.263575349,1.489137464,India
Recreation,15,0.523824716,0.994721481,0.169700211,3.086765259,5.861639624,India
Reinsurance,0,,0,0,,,India
Restaurant/Dining,8,0.799483236,0.926211111,0.203523971,3.928201831,4.550869887,India
Retail (Automotive),2,0.622559963,0.9413,0.122200795,5.094565569,7.702895877,India
Retail (Building Supply),0,,0,0,,,India
Retail (Distributors),143,0.394340657,0.612174014,0.112914417,3.492385359,5.421575298,India
Retail (General),5,0.846494759,1.080072222,0.217868065,3.885354923,4.957460021,India
Retail (Grocery and Food),3,0.314872125,0.313244444,0.088631548,3.552596477,3.534231897,India
Retail (Online),5,0.854213719,0.881511111,0.178537556,4.78450438,4.937398779,India
Retail (Special Lines),15,0.707313834,0.803717172,0.171395701,4.126788653,4.689249306,India
Rubber& Tires,15,1.134991347,1.306649206,0.228570183,4.965614203,5.716621428,India
Semiconductor,8,1.113122054,1.721261111,0.170840352,6.515568722,10.07526086,India
Semiconductor Equip,0,,0,0,,,India
Shipbuilding & Marine,15,0.960231592,1.245317037,0.234153547,4.100862893,5.318377846,India
Shoe,13,0.9311848,0.956623932,0.186480237,4.993477136,5.129894446,India
Software (Entertainment),1,1.760644444,1.760644444,0.118321596,14.88016139,14.88016139,India
Software (Internet),12,0.400021578,0.409487037,0.138083981,2.896944128,2.965492695,India
Software (System & Application),66,0.98488903,0.959064903,0.156199147,6.305341926,6.140013703,India
Steel,159,0.591976592,1.130265026,0.181655175,3.258792885,6.222035932,India
Telecom (Wireless),5,0.70181352,1.576706667,0.266161035,2.636800385,5.923882386,India
Telecom. Equipment,21,0.921184117,1.142857143,0.224105963,4.110484634,5.099628442,India
Telecom. Services,8,0.466959014,0.557636111,0.19868387,2.350261317,2.806650137,India
Tobacco,5,1.384498413,1.384631111,0.25271357,5.478528173,5.479053266,India
Transportation,19,0.532061284,1.181603704,0.269758437,1.972361978,4.380228908,India
Transportation (Railroads),2,1.333260276,1.346533333,0.244530435,5.452328567,5.506608341,India
Trucking,7,0.262773131,0.285247619,0.090134664,2.915339335,3.16468278,India
Utility (General),0,,0,0,,,India
Utility (Water),1,0.801824129,0.809488889,0.137840488,5.817043603,5.872649617,India
Total Market,3432,0.718397218,0.895947748,0.17427917,4.122106031,5.140876836,India
Total Market (without financials),2947,0.796592138,0.933844692,0.178296049,4.467805884,5.237607317,India
Advertising,251,0.896416696,1.068896379,0.20272417,4.42185407,5.272663733,Global
Aerospace/Defense,222,0.979647749,1.122518135,0.250434239,3.911796376,4.482287005,Global
Air Transport,158,0.533356407,0.865006788,0.241749924,2.206231952,3.578105729,Global
Apparel,1171,0.713568224,0.815214397,0.180480246,3.953719258,4.516917586,Global
Auto & Truck,128,0.802113013,1.268303021,0.30748513,2.608623751,4.124762134,Global
Auto Parts,642,1.110363139,1.198022254,0.257884132,4.305666775,4.645583444,Global
Bank (Money Center),623,0.364245026,0.884488698,0.271050842,1.343825473,3.263183731,Global
Banks (Regional),889,0.448960342,0.568976175,0.28258476,1.588763462,2.013470843,Global
Beverage (Alcoholic),223,0.623268343,0.731475134,0.190026694,3.279898892,3.849328316,Global
Beverage (Soft),103,0.640827502,0.74297837,0.188001321,3.408632973,3.951984837,Global
Broadcasting,142,0.75504793,1.018473324,0.272867237,2.767089,3.732486667,Global
Brokerage & Investment Banking,569,0.374983421,0.907368591,0.214222498,1.750439028,4.23563631,Global
Building Materials,434,0.783823073,0.918855281,0.228429647,3.431354394,4.02248698,Global
Business & Consumer Services,772,0.806170865,0.935255999,0.232449946,3.468148212,4.023472645,Global
Cable TV,63,0.781779661,1.154005599,0.291753356,2.679590981,3.955414994,Global
Chemical (Basic),774,0.894348405,1.039489843,0.212883227,4.201121985,4.882910963,Global
Chemical (Diversified),81,1.1773425,1.427439415,0.361969139,3.252604636,3.943538996,Global
Chemical (Specialty),731,0.978331574,1.109558777,0.237376147,4.121440111,4.674263994,Global
Coal & Related Energy,278,0.838585482,1.140816525,0.157309122,5.330812808,7.252068478,Global
Computer Services,929,0.893522748,0.96465488,0.215359182,4.148988398,4.47928373,Global
Computers/Peripherals,327,1.119274684,1.188223062,0.260439205,4.297642836,4.562381697,Global
Construction Supplies,757,0.833212098,1.06843361,0.236259769,3.526677866,4.522283309,Global
Diversified,356,0.627330922,0.865377971,0.253087444,2.478712146,3.419284487,Global
Drugs (Biotechnology),884,1.156101691,1.284826217,0.201089097,5.749201268,6.389338041,Global
Drugs (Pharmaceutical),971,0.918185455,1.011619857,0.19379988,4.737801978,5.219919935,Global
Education,174,0.7637675,0.871568804,0.189506694,4.030292988,4.59914521,Global
Electrical Equipment,856,1.018000189,1.147949659,0.212984529,4.779690776,5.389826502,Global
Electronics (Consumer & Office),153,1.083442341,1.186349009,0.2267761,4.777586088,5.231367014,Global
Electronics (General),1239,1.12900988,1.146520114,0.238774836,4.728345327,4.801678993,Global
Engineering/Construction,1118,0.844316918,1.090744437,0.234456281,3.60116997,4.652229543,Global
Entertainment,353,0.879487236,1.040922945,0.17940787,4.902166423,5.801991546,Global
Environmental & Waste Services,306,0.884552123,1.07976521,0.187723398,4.711997183,5.751894657,Global
Farming/Agriculture,388,0.623767175,0.867394662,0.180134574,3.462784302,4.815259185,Global
Financial Svcs. (Non-bank & Insurance),1016,0.102617634,0.735044747,0.213245699,0.481217838,3.446938205,Global
Food Processing,1275,0.63810642,0.73511777,0.181347576,3.518692855,4.053639901,Global
Food Wholesalers,128,0.482512291,0.68681001,0.223024734,2.163492285,3.079523951,Global
Furn/Home Furnishings,307,0.910847026,0.936579885,0.208697813,4.364430144,4.48773215,Global
Green & Renewable Energy,179,0.598019832,1.008564663,0.184671522,3.2382894,5.461397903,Global
Healthcare Products,677,0.910534979,1.01521871,0.196953906,4.623086676,5.154600539,Global
Healthcare Support Services,334,0.866765979,0.990767781,0.21807356,3.974649558,4.543273293,Global
Heathcare Information and Technology,322,0.914642376,1.022107339,0.207184001,4.414638059,4.933331406,Global
Homebuilding,173,0.828388322,1.073275022,0.300038681,2.760938419,3.577122184,Global
Hospitals/Healthcare Facilities,192,0.441305483,0.735871401,0.202018737,2.18447798,3.64258985,Global
Hotel/Gaming,658,0.644754352,0.836061943,0.196220084,3.285873388,4.260837759,Global
Household Products,494,0.803420654,0.868089868,0.179009341,4.488149329,4.849411004,Global
Information Services,186,0.925196013,1.039777643,0.293619714,3.151001004,3.541239206,Global
Insurance (General),233,0.618380998,0.712636751,0.234938995,2.632091784,3.03328424,Global
Insurance (Life),123,1.111165976,1.024224375,0.36623609,3.034015506,2.796623279,Global
Insurance (Prop/Cas.),227,0.539946989,0.608407136,0.261252619,2.066762013,2.328807797,Global
Investments & Asset Management,1013,0.532272046,0.807144546,0.195958535,2.716248344,4.118955809,Global
Machinery,1270,1.031299363,1.097782811,0.251790803,4.095857953,4.359900353,Global
Metals & Mining,1517,0.917831052,1.258820727,0.14550782,6.307778181,8.651223879,Global
Office Equipment & Services,159,0.724925629,0.858357552,0.22088765,3.281874876,3.885946326,Global
Oil/Gas (Integrated),49,1.080350904,1.392412113,0.393472602,2.745682668,3.538777811,Global
